,sell_type,car_type,year,traction,price,km,range,max_vel,zero_hundred
81,Nuevo,Model X,Model X,Plaid,121.870 €,,543,262,"2,6"
82,Nuevo,Model X,Model X,"Model X, tracción a las cuatro ruedas",122.170 €,,576,250,"3,9"
83,Nuevo,Model X,Model X,"Model X, tracción a las cuatro ruedas",122.270 €,,576,250,"3,9"
84,Nuevo,Model X,Model X,Plaid,126.870 €,,543,262,"2,6"
85,Nuevo,Model Y,Model Y,Model Y Tracción trasera,42.070 €,Cuentakilómetros con 6808 km,455,217,"6,9"
86,Nuevo,Model Y,Model Y,Model Y Tracción trasera,43.060 €,Cuentakilómetros con 5302 km,455,217,"6,9"
87,Nuevo,Model Y,Model Y,Model Y Tracción trasera,43.620 €,Cuentakilómetros con 2780 km,455,217,"6,9"
88,Nuevo,Model Y,Model Y,Model Y Tracción trasera,43.810 €,Cuentakilómetros con 3174 km,455,217,"6,9"
89,Nuevo,Model Y,Model Y,Model Y Tracción trasera,43.960 €,Cuentakilómetros con 2580 km,455,217,"6,9"
90,Nuevo,Model Y,Model Y,Model Y Tracción trasera,44.260 €,,455,217,"6,9"
91,Nuevo,Model Y,Model Y,Model Y Tracción trasera,44.590 €,Cuentakilómetros con 372 km,455,217,"6,9"
92,Nuevo,Model Y,Model Y,Model Y Tracción trasera,44.680 €,Cuentakilómetros con 6224 km,430,217,"6,9"
93,Nuevo,Model Y,Model Y,Model Y Tracción trasera,44.680 €,Cuentakilómetros con 1974 km,455,217,"6,9"
94,Nuevo,Model Y,Model Y,Model Y Tracción trasera,44.830 €,Cuentakilómetros con 6689 km,430,217,"6,9"
95,Nuevo,Model Y,Model Y,Model Y Tracción trasera,45.310 €,,455,217,"6,9"
96,Nuevo,Model Y,Model Y,Model Y Tracción trasera,45.310 €,,455,217,"6,9"
97,Nuevo,Model Y,Model Y,Model Y Tracción trasera,45.320 €,Cuentakilómetros con 4223 km,430,217,"6,9"
98,Nuevo,Model Y,Model Y,Model Y Tracción trasera,45.560 €,,455,217,"6,9"
99,Nuevo,Model Y,Model Y,Model Y Tracción trasera,45.560 €,,455,217,"6,9"
100,Nuevo,Model Y,Model Y,Model Y Tracción trasera,45.560 €,,455,217,"6,9"
101,Nuevo,Model Y,Model Y,Model Y Gran autonomía con tracción trasera,45.850 €,Cuentakilómetros con 7471 km,565,217,"5,9"
102,Nuevo,Model Y,Model Y,Model Y Tracción trasera,45.930 €,Cuentakilómetros con 1315 km,430,217,"6,9"
103,Nuevo,Model Y,Model Y,Model Y Gran autonomía con tracción trasera,46.000 €,Cuentakilómetros con 6248 km,565,217,"5,9"
104,Nuevo,Model Y,Model Y,Model Y Tracción trasera,46.150 €,Cuentakilómetros con 720 km,430,217,"6,9"
105,Nuevo,Model Y,Model Y,Model Y Tracción trasera,46.170 €,Cuentakilómetros con 5128 km,430,217,"6,9"
106,Nuevo,Model Y,Model Y,Model Y Tracción trasera,46.290 €,Cuentakilómetros con 9 km,455,217,"6,9"
107,Nuevo,Model Y,Model Y,Model Y Tracción trasera,46.340 €,Cuentakilómetros con 5 km,430,217,"6,9"
