,car_type,year,price,km
0,TESLA - MODEL Y,2022,35.490 €,28.400 kms
1,TESLA - MODEL 3,2021,33.990 €,74.910 kms
2,TESLA - MODEL 3,2020,35.490 €,84.999 kms
