,sell_type,car_type,year,price,km
369,Nuevo,Model 3,2024,51290.0,0.0
370,Nuevo,Model 3,2024,52480.0,0.0
371,Nuevo,Model 3,2024,58790.0,0.0
372,Nuevo,Model 3,2024,59980.0,0.0
373,Nuevo,Model 3,2024,62590.0,0.0
374,Nuevo,Model 3,2024,40080.0,0.0
375,Nuevo,Model 3,2024,40520.0,1.0
376,Nuevo,Model 3,2024,40610.0,851.0
377,Nuevo,Model 3,2024,41140.0,0.0
378,Nuevo,Model 3,2024,41160.0,21.0
379,Nuevo,Model 3,2024,41290.0,0.0
380,Nuevo,Model 3,2024,41440.0,15.0
381,Nuevo,Model 3,2024,41440.0,15.0
382,Nuevo,Model 3,2024,41440.0,29.0
383,Nuevo,Model 3,2024,41440.0,2.0
384,Nuevo,Model 3,2024,42480.0,0.0
385,Nuevo,Model 3,2024,42480.0,0.0
386,Nuevo,Model 3,2024,42640.0,0.0
387,Nuevo,Model 3,2024,42640.0,0.0
388,Nuevo,Model 3,2024,49330.0,0.0
389,Nuevo,Model 3,2024,50170.0,1.0
390,Nuevo,Model 3,2024,50600.0,0.0
391,Nuevo,Model 3,2024,51290.0,0.0
392,Nuevo,Model 3,2024,51290.0,0.0
393,Nuevo,Model 3,2024,52480.0,0.0
394,Nuevo,Model 3,2024,52480.0,0.0
395,Nuevo,Model 3,2024,52640.0,0.0
396,Nuevo,Model 3,2024,58790.0,0.0
397,Nuevo,Model 3,2024,62590.0,0.0
398,Nuevo,Model 3,2024,42640.0,0.0
399,Nuevo,Model 3,2024,46440.0,0.0
400,Nuevo,Model 3,2024,51290.0,0.0
401,Nuevo,Model 3,2024,51290.0,0.0
402,Nuevo,Model 3,2024,52480.0,0.0
403,Nuevo,Model 3,2024,52640.0,0.0
404,Nuevo,Model 3,2024,53670.0,0.0
405,Nuevo,Model 3,2024,56280.0,0.0
406,Nuevo,Model 3,2024,58790.0,0.0
407,Nuevo,Model 3,2024,41990.0,0.0
408,Nuevo,Model 3,2024,43180.0,0.0
409,Nuevo,Model 3,2024,43180.0,0.0
410,Nuevo,Model 3,2024,43340.0,0.0
411,Nuevo,Model 3,2024,43340.0,0.0
412,Nuevo,Model 3,2024,46980.0,0.0
413,Nuevo,Model 3,2024,51990.0,0.0
414,Nuevo,Model 3,2024,53340.0,0.0
415,Nuevo,Model 3,2024,56980.0,0.0
416,Nuevo,Model 3,2024,59490.0,0.0
417,Nuevo,Model 3,2024,38770.0,3.0
418,Nuevo,Model 3,2024,41830.0,12.0
419,Nuevo,Model 3,2024,41850.0,52.0
420,Nuevo,Model 3,2024,41990.0,0.0
421,Nuevo,Model 3,2024,41990.0,0.0
422,Nuevo,Model 3,2024,42010.0,15.0
423,Nuevo,Model 3,2024,43010.0,23.0
424,Nuevo,Model 3,2024,43120.0,12.0
425,Nuevo,Model 3,2024,43180.0,0.0
