car_type,price,Ubicación,Tipo de vehículo,year,km,Link
TESLA Model 3 Gran Autonomia AWD,29.990 €,Almería,Eléctrico,2022,60.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2022-en-almeria-59526199-covo.aspx
TESLA Model S Gran Autonomia 4WD,40.500 €,Madrid,Eléctrico,2020,97.250 km,/tesla-model-s-gran-autonomia-4wd-5p-electrico-hibrido-2019-en-madrid-59542278-covo.aspx
TESLA Model 3 Performance AWD,29.990 €,Granada,Eléctrico,2019,58.488 km,/tesla-model-3-performance-awd-4p-electrico-/-hibrido-2019-en-granada-59213113-covo.aspx
TESLA Model 3 Gran Autonomia AWD,23.990 €,Madrid,Eléctrico,2019,190.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-58057558-covo.aspx
TESLA Model Y Traccion Trasera RWD,31.400 €,Valencia,Eléctrico,2022,72.000 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2022-en-valencia-59277751-covo.aspx
TESLA Model 3 Gran Autonomia AWD,36.400 €,Barcelona,Eléctrico,2023,37.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2023-en-barcelona-59456973-covo.aspx
TESLA Model 3 Estandar Plus RWD,22.900 €,Murcia,Eléctrico,2019,133.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-murcia-59543907-covo.aspx
TESLA Model 3 Gran Autonomia AWD,26.490 €,Madrid,Eléctrico,2019,81.803 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-madrid-59455343-covo.aspx
TESLA Model Y Traccion Trasera RWD,35.250 €,Málaga,Eléctrico,2022,36.413 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-/-hibrido-2021-en-malaga-58866238-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,33.990 €,Barcelona,Eléctrico,2021,40.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-/-hibrido-2021-en-barcelona-58362678-covo.aspx
TESLA Model S 75D 4WD,34.610 €,Barcelona,Eléctrico,2018,96.553 km,/tesla-model-s-75d-4wd-5p-electrico-/-hibrido-2018-en-barcelona-59139286-covo.aspx
TESLA Model 3 Performance AWD,33.850 €,Barcelona,Eléctrico,2022,48.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2022-en-barcelona-59449697-covo.aspx
TESLA Model 3 Performance AWD,32.980 €,Granada,Eléctrico,2021,44.983 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2022-en-granada-59477523-covo.aspx
TESLA Model 3 Gran Autonomia AWD,24.990 €,Madrid,Eléctrico,2019,164.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59372482-covo.aspx
TESLA Model S 90D 4WD,24.900 €,Valencia,Eléctrico,2017,184.000 km,/tesla-model-s-90d-4wd-5p-electrico-/-hibrido-2017-en-valencia-59414914-covo.aspx
TESLA Model S Performance Ludicrous 4WD,45.900 €,Toledo,Eléctrico,2019,49.000 km,/tesla-model-s-performance-ludicrous-4wd-5p-electrico-/-hibrido-2019-en-toledo-59105084-covo.aspx
TESLA Model 3 Gran Autonomia AWD,26.490 €,Madrid,Eléctrico,2019,81.803 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-madrid-59543428-covo.aspx
TESLA Model S 75D 4WD,24.750 €,Madrid,Eléctrico,2018,110.000 km,/tesla-model-s-75d-4wd-5p-electrico-hibrido-2018-en-madrid-58380283-covo.aspx
TESLA Model 3 Estandar Plus RWD,21.500 €,Madrid,Eléctrico,2020,129.446 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-/-hibrido-2019-en-madrid-59123549-covo.aspx
TESLA Model 3 Estandar Plus RWD,22.995 €,Barcelona,Eléctrico,2020,125.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2020-en-barcelona-58385790-covo.aspx
TESLA Model 3 Performance AWD 4p.,30.000 €,Pontevedra,Eléctrico,2020,68.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2020-en-pontevedra-58894297-covo.aspx
TESLA Model 3 Gran Autonomia AWD,33.000 €,Valencia,Eléctrico,2023,79.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2023-en-valencia-59326256-covo.aspx
TESLA Model 3 Gran Autonomia AWD,28.990 €,Madrid,Eléctrico,2019,39.413 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-madrid-59364499-covo.aspx
TESLA Model Y Performance 4WD,41.900 €,Madrid,Eléctrico,2022,51.900 km,/tesla-model-y-performance-4wd-5p-electrico-/-hibrido-2021-en-madrid-59392843-covo.aspx
TESLA Model S Gran Autonomia 4WD,42.890 €,Madrid,Eléctrico,2019,89.500 km,/tesla-model-s-gran-autonomia-4wd-5p-electrico-hibrido-2019-en-madrid-59330402-covo.aspx
TESLA Model 3 Gran Autonomia AWD 4p.,29.990 €,Barcelona,Eléctrico,2021,116.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2021-en-barcelona-59034201-covo.aspx
TESLA Model X Ludicrous Performance 4WD,54.900 €,Madrid,Eléctrico,2020,93.000 km,/tesla-model-x-ludicrous-performance-4wd-5p-electrico-/-hibrido-2020-en-madrid-58932914-covo.aspx
TESLA Model S Ludicrous Performance 4WD,65.000 €,Lleida,Eléctrico,2020,84.000 km,/tesla-model-s-ludicrous-performance-4wd-5p-electrico-/-hibrido-2020-en-lleida-57288947-covo.aspx
TESLA Model 3 Estandar Plus RWD,20.000 €,Barcelona,Eléctrico,2019,120.000 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-barcelona-59395320-covo.aspx
TESLA Model 3 Performance 4WD,37.490 €,Madrid,Eléctrico,2021,58.431 km,/tesla-model-3-performance-4wd-4p-electrico-/-hibrido-2021-en-madrid-57611881-covo.aspx
TESLA Model 3 Gran Autonomia AWD,29.999 €,Madrid,Eléctrico,2021,70.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2021-en-madrid-58849908-covo.aspx
TESLA Model X 100D 4WD,42.900 €,Alicante,Eléctrico,2018,165.000 km,/tesla-model-x-100d-4wd-5p-electrico-hibrido-2018-en-alicante-56679160-covo.aspx
TESLA Model X 100D 4WD,37.500 €,Barcelona,Eléctrico,2017,130.000 km,/tesla-model-x-100d-4wd-5p-electrico-/-hibrido-2017-en-barcelona-59270073-covo.aspx
TESLA Model 3 Performance AWD,39.900 €,Badajoz,Eléctrico,2021,160.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2021-en-badajoz-59014171-covo.aspx
TESLA Model 3 RWD,27.950 €,Murcia,Eléctrico,2022,54.000 km,/tesla-model-3-rwd-4p-electrico-hibrido-2022-en-murcia-59468367-covo.aspx
TESLA Model 3 Gran Autonomia AWD,27.400 €,Valencia,Eléctrico,2020,61.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-valencia-58474801-covo.aspx
TESLA Model X 100D 4WD,57.995 €,Barcelona,Eléctrico,2018,119.000 km,/tesla-model-x-100d-4wd-electrico-hibrido-2018-en-barcelona-55439393-covo.aspx
TESLA Model 3 Performance AWD,33.850 €,Madrid,Eléctrico,2022,48.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2022-en-madrid-59511213-covo.aspx
TESLA Model 3 Gran Autonomia AWD,22.999 €,Ciudad Real,Eléctrico,2019,114.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-ciudad_real-58771653-covo.aspx
TESLA Model 3 Gran Autonomia AWD,26.990 €,Madrid,Eléctrico,2020,97.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-madrid-59539794-covo.aspx
TESLA Model 3 Performance AWD,37.890 €,Tarragona,Eléctrico,2020,74.862 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2019-en-tarragona-59514599-covo.aspx
TESLA Model Y Traccion Trasera RWD,46.990 €,Barcelona,Eléctrico,2024,7925 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-/-hibrido-2021-en-barcelona-59390883-covo.aspx
TESLA Model S 60,22.990 €,Madrid,Eléctrico,2014,148.000 km,/tesla-model-s-60-5p-electrico-/-hibrido-2017-en-madrid-59177020-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,31.990 €,Baleares,Eléctrico,2021,123.603 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2021-en-baleares-59471955-covo.aspx
TESLA Model 3 RWD,29.560 €,Málaga,Eléctrico,2023,61.586 km,/tesla-model-3-rwd-4p-electrico-hibrido-2023-en-malaga-59276025-covo.aspx
TESLA Model S Ludicrous Performance 4WD,56.990 €,Madrid,Eléctrico,2020,66.056 km,/tesla-model-s-ludicrous-performance-4wd-5p-electrico-/-hibrido-2020-en-madrid-58211574-covo.aspx
TESLA Model S 75D 4WD,30.995 €,Madrid,Eléctrico,2018,61.000 km,/tesla-model-s-75d-4wd-5p-electrico-hibrido-2018-en-madrid-59467651-covo.aspx
TESLA Model 3 Gran Autonomia AWD,24.900 €,Valencia,Eléctrico,2019,128.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-valencia-59476227-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,28.500 €,Madrid,Eléctrico,2020,67.000 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-hibrido-2020-en-madrid-59340071-covo.aspx
TESLA Model 3 Gran Autonomia AWD,33.998 €,Madrid,Eléctrico,2022,57.525 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2022-en-madrid-59360507-covo.aspx
